1,Тип,Беспроводные наушники,2024-05-10 18:54:42.695+03,2024-05-10 18:54:42.695+03,29
2,Связь,Bluetooth 5.2,2024-05-10 18:54:42.696+03,2024-05-10 18:54:42.696+03,29
3,Частотный диапазон,20 Гц - 20 кГц,2024-05-10 18:54:42.696+03,2024-05-10 18:54:42.696+03,29
4,Драйверы,11 мм,2024-05-10 18:54:42.696+03,2024-05-10 18:54:42.696+03,29
5,Аккумулятор,до 28 часов работы,2024-05-10 18:54:42.696+03,2024-05-10 18:54:42.696+03,29
6,Тип,Беспроводные наушники,2024-05-10 19:11:17.224+03,2024-05-10 19:11:17.224+03,30
7,Связь,Bluetooth 5.2,2024-05-10 19:11:17.225+03,2024-05-10 19:11:17.225+03,30
8,Аккумулятор,до 8 часов работы на одном заряде,2024-05-10 19:11:17.225+03,2024-05-10 19:11:17.225+03,30
9,Шумоподавление,Активное шумоподавление с управлением по уровню,2024-05-10 19:11:17.225+03,2024-05-10 19:11:17.225+03,30
10,Дизайн,Эргономичный дизайн с мягкими амбушюрами,2024-05-10 19:11:17.225+03,2024-05-10 19:11:17.225+03,30
11,Тип,Беспроводные наушники,2024-05-10 19:14:55.116+03,2024-05-10 19:14:55.116+03,31
12,Связь,Bluetooth,2024-05-10 19:14:55.116+03,2024-05-10 19:14:55.116+03,31
13,Шумоподавление,Активное,2024-05-10 19:14:55.116+03,2024-05-10 19:14:55.116+03,31
14,Батарея,Длительный срок работы,2024-05-10 19:14:55.116+03,2024-05-10 19:14:55.116+03,31
15,Дизайн,Компактный,2024-05-10 19:14:55.116+03,2024-05-10 19:14:55.116+03,31
16,Тип,Беспроводные наушники,2024-05-10 19:17:04.794+03,2024-05-10 19:17:04.794+03,32
17,Связь,Bluetooth,2024-05-10 19:17:04.794+03,2024-05-10 19:17:04.794+03,32
18,Шумоподавление,Активное,2024-05-10 19:17:04.794+03,2024-05-10 19:17:04.794+03,32
19,Дизайн,Элегантный и компактный,2024-05-10 19:17:04.795+03,2024-05-10 19:17:04.795+03,32
20,Батарея,Длительный срок работы,2024-05-10 19:17:04.795+03,2024-05-10 19:17:04.795+03,32
21,Тип,Беспроводные наушники,2024-05-10 19:17:50.409+03,2024-05-10 19:17:50.409+03,33
22,Связь,Bluetooth,2024-05-10 19:17:50.409+03,2024-05-10 19:17:50.409+03,33
23,Дизайн,Стильный и компактный,2024-05-10 19:17:50.409+03,2024-05-10 19:17:50.409+03,33
24,Аккумулятор,Долгое время работы,2024-05-10 19:17:50.409+03,2024-05-10 19:17:50.409+03,33
25,Совместимость,С различными устройствами,2024-05-10 19:17:50.409+03,2024-05-10 19:17:50.409+03,33
26,Тип,Беспроводные наушники TWS,2024-05-11 15:15:57.452+03,2024-05-11 15:15:57.452+03,34
27,Связь,Bluetooth,2024-05-11 15:15:57.452+03,2024-05-11 15:15:57.452+03,34
29,Дизайн,Элегантный и компактный,2024-05-11 15:15:57.452+03,2024-05-11 15:15:57.452+03,34
28,Шумоподавление,Активное,2024-05-11 15:15:57.452+03,2024-05-11 15:15:57.452+03,34
30,Батарея,Длительный срок работы,2024-05-11 15:15:57.452+03,2024-05-11 15:15:57.452+03,34
31,Тип,Беспроводные наушники TWS,2024-05-11 15:16:39.554+03,2024-05-11 15:16:39.554+03,35
32,Связь,Bluetooth,2024-05-11 15:16:39.554+03,2024-05-11 15:16:39.554+03,35
33,Шумоподавление,Активное,2024-05-11 15:16:39.554+03,2024-05-11 15:16:39.554+03,35
34,Вес,Легкие и компактные,2024-05-11 15:16:39.555+03,2024-05-11 15:16:39.555+03,35
35,Чехол-зарядка,Продолжительное время работы,2024-05-11 15:16:39.556+03,2024-05-11 15:16:39.556+03,35
36,Тип,Беспроводные наушники TWS,2024-05-11 15:21:06.763+03,2024-05-11 15:21:06.763+03,36
37,Связь,Bluetooth 5.0,2024-05-11 15:21:06.763+03,2024-05-11 15:21:06.763+03,36
38,Управление,Кнопка,2024-05-11 15:21:06.763+03,2024-05-11 15:21:06.763+03,36
39,Микрофон,Встроенный,2024-05-11 15:21:06.763+03,2024-05-11 15:21:06.763+03,36
40,Дизайн,Компактный,2024-05-11 15:21:06.763+03,2024-05-11 15:21:06.763+03,36
41,Тип,Беспроводные наушники TWS,2024-05-11 15:23:28.954+03,2024-05-11 15:23:28.954+03,37
42,Связь,Bluetooth 5.0,2024-05-11 15:23:28.954+03,2024-05-11 15:23:28.954+03,37
43,Дизайн,Компактный,2024-05-11 15:23:28.954+03,2024-05-11 15:23:28.954+03,37
44,Эргономика,Удобные насадки,2024-05-11 15:23:28.954+03,2024-05-11 15:23:28.954+03,37
45,Прочность,Надежное соединение,2024-05-11 15:23:28.954+03,2024-05-11 15:23:28.954+03,37
46,Тип,Беспроводные наушники TWS,2024-05-11 15:23:46.801+03,2024-05-11 15:23:46.801+03,38
47,Шумоподавление,Активное,2024-05-11 15:23:46.801+03,2024-05-11 15:23:46.801+03,38
48,Эргономика,Удобная посадка,2024-05-11 15:23:46.801+03,2024-05-11 15:23:46.801+03,38
49,Функционал,Поддержка голосовых команд,2024-05-11 15:23:46.801+03,2024-05-11 15:23:46.801+03,38
50,Батарея,Долгое время работы до 24 часов,2024-05-11 15:23:46.801+03,2024-05-11 15:23:46.801+03,38
56,Тип,Полноразмерные наушники,2024-05-11 15:29:37.256+03,2024-05-11 15:29:37.256+03,40
57,Качество звука,Превосходное,2024-05-11 15:29:37.256+03,2024-05-11 15:29:37.256+03,40
58,Дизайн,Современный,2024-05-11 15:29:37.256+03,2024-05-11 15:29:37.256+03,40
59,Посадка,Комфортная,2024-05-11 15:29:37.256+03,2024-05-11 15:29:37.256+03,40
60,Время работы,До 30 часов,2024-05-11 15:29:37.256+03,2024-05-11 15:29:37.256+03,40
61,Тип,Полноразмерные наушники,2024-05-11 15:29:48.699+03,2024-05-11 15:29:48.699+03,41
62,Качество звука,Превосходное,2024-05-11 15:29:48.699+03,2024-05-11 15:29:48.699+03,41
63,Дизайн,Стильный,2024-05-11 15:29:48.699+03,2024-05-11 15:29:48.699+03,41
64,Посадка,Комфортная,2024-05-11 15:29:48.699+03,2024-05-11 15:29:48.699+03,41
65,Время работы,До 35 часов,2024-05-11 15:29:48.699+03,2024-05-11 15:29:48.699+03,41
